;;;Interaction parameters;;;;;
Shot;General comments;Laser_Energy;Z - height (mm);X (mm);Y- Focus (mm);Beam_quality;Beam_Pointing;Charge(pC)
109;;7,03281;-8,6;1,3;2,15;;;245
110;;6,91958;-8,6;1,3;2,15;;;260
111;;6,95339;-8,6;1,3;2,15;;;250
112;;7,06428;-8,6;1,3;2,15;;;290
113;;6,90312;-8,6;1,3;2,15;;;235
114;;7,01311;-8,6;1,3;2,15;;;200
115;;7,139;-8,6;1,3;2,15;;;210
116;;6,94333;-8,6;1,3;2,15;;;230
117;;6,86844;-8,6;1,3;2,15;;;225
118;;7,02089;-8,6;1,3;2,15;;;270
119;;6,92852;-8,6;1,3;2,15;;;210
120;;6,82426;-8,6;1,3;2,15;;;170
121;;6,94573;-8,6;1,3;2,15;;;250
122;;6,975;-8,6;1,3;2,15;;;130
123;;7,02865;-8,6;1,3;2,15;;;350
124;;6,94352;-8,6;1,3;2,15;;;270
125;;7,11048;-8,6;1,3;2,15;;;220
126;;7,03368;-8,6;1,3;2,15;;;290
127;;6,99969;-8,6;1,3;2,15;;;250
128;;7,06743;-8,6;1,3;2,15;;;275
129;;7,16309;-8,6;1,3;2,15;;;350
130;;7,04735;-8,6;1,3;2,15;;;310
131;;6,947;-8,6;1,3;2,15;;;330
132;;7,00884;-8,6;1,3;2,15;;;300
133;;7,0826;-8,6;1,3;2,15;;;310
134;;missed;-8,6;1,3;2,15;;;265
135;;7,1599;-8,6;1,3;2,15;;;250
136;;6,96447;-8,6;1,3;2,15;;;330
137;;6,98081;-8,6;1,3;2,15;;;380
138;;7,0852;-8,6;1,3;2,15;;;340
139;;6,91572;-8,6;1,3;2,15;;;360
140;END;6,99544;-8,6;1,3;2,15;;;340
141;;;;;;;;
142;;;;;;;;
143;;;;;;;;
144;;;;;;;;
145;;;;;;;;
146;;;;;;;;
147;;;;;;;;
148;;;;;;;;
149;;;;;;;;
150;;;;;;;;
151;;;;;;;;
152;;;;;;;;
153;;;;;;;;
154;;;;;;;;
155;;;;;;;;
156;;;;;;;;
157;;;;;;;;
158;;;;;;;;
159;;;;;;;;
160;;;;;;;;
161;;;;;;;;
162;;;;;;;;
163;;;;;;;;
164;;;;;;;;
165;;;;;;;;
166;;;;;;;;
167;;;;;;;;
168;;;;;;;;
169;;;;;;;;
170;;;;;;;;
171;;;;;;;;
172;;;;;;;;
173;;;;;;;;
174;;;;;;;;
175;;;;;;;;
176;;;;;;;;
177;;;;;;;;
178;;;;;;;;
179;;;;;;;;
180;;;;;;;;
181;;;;;;;;
182;;;;;;;;
183;;;;;;;;
184;;;;;;;;
185;;;;;;;;
186;;;;;;;;
187;;;;;;;;
188;;;;;;;;
189;;;;;;;;
190;;;;;;;;
191;;;;;;;;
192;;;;;;;;
193;;;;;;;;
194;;;;;;;;
