;;;Interaction parameters;;;;;
Shot;General_Comments;Laser_Energy;Z - height (mm);X (mm);Y- Focus (mm);Beam_quality;Beam_pointing;Charge(pC)
0;;;-8,7;1,3;0,95;;;
1;;;-8,7;1,3;0,95;;;
2;;7,32;-8,7;1,3;0,95;;;
3;;6,86716;-8,7;1,3;0,95;;;
4;;7,3494;;;;;;
5;;6,57793;-10,7;1,3;0,95;;;
6;;6,77028;;;;D;;
7;;6,41758;-9,7;1,3;0,95;D;;
8;;6,76706;-8,7;1,3;1,05;D;;
9;;6,78865;-8,7;1,3;1,05;D;;
10;;6,84592;-8,7;1,3;1,15;D;;
11;;6,59284;-8,7;1,3;1,25;D;;
12;;6,72333;-8,7;1,3;1,35;D;;
13;;6,62646;-8,7;1,3;1,45;D;;
14;;6,61811;-8,7;1,3;1,55;D;;
15;;6,65115;-8,7;1,3;1,65;D;;
16;;6,51911;-8,7;1,3;1,75;D;;
17;Magnet_OUT, mask_free, Pointing_IN;7;-8,7;1,3;1,85;C;J4;
18;;6,41453;-8,7;1,3;1,95;C;G2;
19;;6,79936;-8,7;1,3;2,05;CB;;
20;;6,61054;-8,7;1,3;2,15;C;J3;
21;;6,51324;-8,7;1,3;2,25;C;J4;
22;no_electron;6,65826;-8,7;1,3;2,35;N;;
23;no_electron;6,5054;-8,7;1,3;2,45;N;;
24;;6,72;-8,7;1,3;1,85;C;G2;
25;;6,67379;-8,7;1,3;1,85;C;H4;
26;;6,71023;-8,7;1,3;1,85;C;;
27;;6,59456;-8,7;1,3;1,85;C;H3;
28;;6,53949;-8,7;1,3;1,85;C;H4;
29;;6,74012;-8,5;1,3;1,85;C;H2;
30;;6,57392;-8,5;1,3;1,85;C;I3;
31;;6,66296;-8,5;1,3;1,85;C;H3;
32;no_electrons;6,73976;-8,5;1,3;1,85;N;;
33;;6,62209;-8,5;1,3;1,85;C;H4;
34;;6,6269;-8,5;1,3;1,85;C;I4;
35;;6,50594;-8,5;1,3;1,85;C;I2;
36;;6,55848;-8,5;1,3;1,85;C;G4;
37;Magnet_IN, Pointing_OUT;6,5993;-8,5;1,3;1,85;;;
38;;6,44138;-8,5;1,3;1,85;;;
39;;6,37434;-8,5;1,3;1,85;;;
40;;6,38687;-8,5;1,3;1,85;;;
41;;6,4713;-8,5;1,3;1,85;;;
42;;6,58216;-8,5;1,3;1,85;;;
43;;6,43729;-8,5;1,3;1,85;;;
44;;6,61342;-8,5;1,3;1,85;;;
45;;6,59759;-8,5;1,3;1,85;;;
46;;6,52701;-8,5;1,3;1,95;;;
47;;6,35862;-8,5;1,3;1,95;;;
48;;6,41028;-8,5;1,3;1,95;;;
49;;6,41788;-8,5;1,3;1,95;;;
50;;6,49614;-8,5;1,3;1,95;;;
51;;6,71694;-8,5;1,3;1,95;;;
52;;6,59293;-8,5;1,3;1,95;;;
53;;6,42203;-8,5;1,3;1,95;;;
54;;6,4672;-8,5;1,3;1,95;;;
55;;6,40969;-8,5;1,3;1,95;;;
56;;6,44675;-8,5;1,3;1,85;;;
57;;6,51258;-8,5;1,3;1,85;;;
58;;6,44436;-8,5;1,3;1,85;;;
59;;6,44756;-8,5;1,3;1,85;;;
60;;6,45627;-8,5;1,3;1,85;;;
61;;6,31225;-8,5;1,3;1,85;;;
62;;6,19264;-8,5;1,3;1,85;;;
63;;6,42069;-8,5;1,3;1,85;;;
64;;6,48463;-8,5;1,3;1,85;;;
65;;6,29871;-8,5;1,3;1,85;;;
66;;6,48239;-8,5;1,3;1,85;;;
67;;6,33862;-8,5;1,3;1,85;;;
68;;6,34561;-8,5;1,3;1,85;;;
69;END;6,30958;-8,5;1,3;1,85;;;
