;;;Interaction parameters;;;;;;
Shot;General comments;Energy before compression (J) - calib k = 0,016231;Z - height (mm);X (mm);Y- Focus (mm);Beam_quality;Beam_Pointing;Charge(pC);
106;;7,21441;-8,6;1,3;1,75;C;A1;130;
107;no_electrons;7,19435;-8,6;1,3;1,75;N;;50;
108;filamented;7,16061;-8,6;1,3;1,65;F;;75;
109;;7,10139;-8,6;1,3;1,65;CM;A2;150;
110;;7,20435;-8,6;1,3;1,45;CM;B1;250;
111;;7,10322;-8,6;1,3;1,45;C;F2;180;
112;filamented;;-8,6;1,3;1,45;F;F1;170;
113;;7,14385;-8,6;1,3;1,45;D;;95;
114;;7,27739;-8,6;1,3;1,45;F;;105;
115;;7,24555;-8,6;1,3;1,95;C;G3;225;NewConverge
116;Magnet_OUT;7,07554;-8,6;1,3;1,95;C;G3;155;
117;Magnet_OUT;7,19886;-8,6;1,3;1,95;CM;G3;205;
118;Magnet_OUT,filamented;7,33871;-8,6;1,3;1,95;F;;50;
119;no_electrons;7,27904;-8,6;1,3;1,95;N;;55;
120;Magnet_OUT;7,28951;-8,6;1,3;1,95;C;F3;180;
121;Magnet_IN;7,11147;-8,6;1,3;1,95;C;F3;160;
122;;7,2997;-8,6;1,3;1,85;CM;F3;200;
123;;7,30263;-8,6;1,3;1,85;C;F4;125;
124;no_electrons;7,40321;-8,6;1,3;1,75;N;;95;
125;;7,33088;-8,6;1,3;1,75;D;;120;
126;;7,15774;-8,6;1,3;1,65;C;F4;175;
127;;7,45794;-8,6;1,3;1,65;CM;F3;140;
128;;7,34677;-8,6;1,3;1,55;D;;200;
129;;7,25681;-8,6;1,3;1,55;CM;G3;225;
130;;7,12423;-8,6;1,3;1,45;CM;G3;150;
131;;7,25786;-8,6;1,3;1,45;CM;C1;230;
132;;7,24163;-8,6;1,3;1,35;D;;150;
133;;7,09308;-8,6;1,3;1,35;D;;290;
134;filamented;7,20413;-8,6;1,3;1,25;F;E2;125;
135;;7,14493;-8,6;1,3;1,25;CB;C3;320;
136;;;-8,6;1,3;1,15;D;;318;
137;;7,25729;-8,6;1,3;1,15;CB;;160;
138;;7,24342;-8,6;1,3;2,05;C;F3;100;
139;;7,16535;-8,6;1,3;2,05;D;;115;
140;no_electrons;7,09552;-8,6;1,3;2,15;N;;60;
141;no_electrons;6,99057;-8,6;1,3;2,15;N;;40;
142;;7,14714;-8,6;1,3;1,95;D;;100;
143;;7,12331;-8,6;1,3;1,95;C;F3;105;
144;;7,24735;-8,6;1,3;1,95;CM;B0;155;
145;;7,14384;-8,6;1,3;1,95;D;;220;
146;;7,16564;-8,6;1,3;1,95;C;G4;140;
147;;7,47476;-8,6;1,3;1,95;D;;75;
148;;7,31404;-8,6;1,3;1,95;C;F3;205;
149;;7,12484;-8,6;1,3;1,85;C;H4;225;
150;;7,27186;-8,6;1,3;1,85;D;;220;
151;;7,32499;-8,6;1,3;1,75;D;;245;
152;;7,12946;-8,6;1,3;1,75;C;G4;225;
153;;7,28668;-8,6;1,3;1,65;C;G3;155;
154;;7,30307;-8,6;1,3;1,65;CM;;250;
155;;7,3522;-8,6;1,3;1,55;CM;A2;340;
156;;6,96414;-8,6;1,3;1,55;D;;275;
157;;7,1234;-8,6;1,3;1,45;CM;;200;
158;;7,12652;-8,6;1,3;1,45;C;L3;375;
159;;6,9656;-8,6;1,3;1,35;D;;500;
160;;7,16417;-8,6;1,3;1,35;D;;255;
161;;7,12353;-8,6;1,3;1,25;D;;680;
162;;7,41155;-8,6;1,3;1,25;C;K4;390;
163;no_electrons;7,14056;-8,6;1,3;1,15;N;;180;
164;;7,03155;-8,6;1,3;1,15;D;;280;
165;;7,28843;-8,6;1,3;1,05;D;;320;
166;;7,17684;-8,6;1,3;1,05;CM;;380;
167;;7,32022;-8,6;1,3;0,95;D;;600;
168;;7,18532;-8,6;1,3;0,95;D;;290;
169;;7,209;-8,6;1,3;2,05;C;G3;205;
170;;7,10787;-8,6;1,3;2,05;CM;G4;200;
171;;7,28704;-8,6;1,3;2,15;C;F3;240;
172;;7,13885;-8,6;1,3;2,15;C;G4;80;
173;;7,17088;-8,6;1,3;2,25;C;G3;245;
174;;7,18192;-8,6;1,3;2,25;C;H4;200;
175;no_electrons;7,27224;-8,6;1,3;2,35;N;;50;
176;filamented;7,29808;-8,6;1,3;2,35;F;;60;
177;filamented;7,14538;-8,6;1,3;2,25;F;;55;
178;no_electrons;7,03236;-8,6;1,3;2,25;N;;80;
179;;7,07259;-8,6;1,3;2,25;C;F3;75;
180;no_electrons;7,00011;-8,6;1,3;2,25;N;;40;
181;filamented;7,09894;-8,6;1,3;2,25;F;;70;
182;;7,03968;-8,6;1,3;2,15;C;F4;180;
183;filamented;7,20287;-8,6;1,3;2,15;F;;80;
184;;6,90445;-8,6;1,3;2,15;C;L4;140;
185;;7,16161;-8,6;1,3;2,15;C;G3;220;
186;;;-8,6;1,3;2,15;C;G3;100;
187;;7,28219;-8,6;1,3;2,15;C;F3;160;
188;;6,98605;-8,6;1,3;2,15;C;A1;80;
189;;7,10428;-8,6;1,3;2,15;C;F3;220;
190;;7,15011;-8,6;1,3;2,15;C;G3;75;
191;;6,95099;-8,6;1,3;2,05;D;;190;
192;no_electrons;7,08892;-8,6;1,3;2,05;N;;40;
193;;7,06257;-8,6;1,3;1,95;CM;;160;
194;;7,18372;-8,6;1,3;1,95;CM;G3;190;
195;;7,1605;-8,6;1,3;1,85;CM;;220;
196;;7,09735;-8,6;1,3;1,85;C;F3;240;
197;;7,22198;-8,6;1,3;1,75;C;F3;210;
198;;7,15182;-8,6;1,3;1,75;CM;F2;180;
199;;7,09758;-8,6;1,3;1,65;D;;380;
200;;7,28364;-8,6;1,3;1,65;CM;G3;160;
201;;7,26757;-8,6;1,3;1,55;D;;390;
202;;6,98365;-8,6;1,3;1,55;CM;B1;240;
203;;7,04223;-8,6;1,3;1,45;CM;F2;320;
204;;7,29425;-8,6;1,3;1,45;C;C1;190;
205;no_electrons;7,08474;-8,6;1,3;1,35;N;;280;
206;;6,9547;-8,6;1,3;1,35;CM;;440;
207;;7,11368;-8,6;1,3;2,25;C;G3;70;
208;no_electrons;7,2135;-8,6;1,3;2,25;N;;40;
209;no_electrons;7,00538;-8,6;1,3;2,35;N;;40;
210;no_electrons;7,17628;-8,6;1,3;2,35;N;;30;
211;no_electrons;7,04937;-8,6;1,3;2,15;N;;40;
212;filamented;7,20576;-8,6;1,3;2,15;F;;40;
213;filamented;7,05281;-8,6;1,3;2,15;F;;100;
214;filamented;7,01421;-8,6;1,3;2,15;F;;70;
215;filamented;7,18072;-8,6;1,3;2,15;F;H3;30;
216;no_electrons;7,08395;-8,6;1,3;2,15;N;;20;
217;no_electrons;6,99489;-8,6;1,3;2,05;N;;20;
218;;6,9284;-8,6;1,3;2,05;C;G3;40;
219;no_electrons;7,13521;-8,6;1,3;1,95;N;;30;
220;filamented;7,0939;-8,6;1,3;1,95;F;G3;30;
221;no_electrons;7,05449;-8,6;1,3;1,85;N;;25;
222;;6,90776;-8,6;1,3;1,85;C;F2;120;External_magnet?
223;;;-8,6;1,3;1,75;C;G3;90;
224;no_electrons;7,2141;-8,6;1,3;1,75;N;;40;
225;;7,06622;-8,6;1,3;1,65;C;G3;50;
226;no_electrons;7,06125;-8,6;1,3;1,65;N;;55;
227;;7,01891;-8,6;1,3;1,65;CM;F2;160;
228;;7,18946;-8,6;1,3;1,65;CM;F3;180;
229;;7,15595;-8,6;1,3;1,75;C;G3;120;
230;;7,13571;-8,6;1,3;1,75;C;G3;210;
231;;7,18029;-8,6;1,3;1,85;C;F3;140;
232;;7,11209;-8,6;1,3;1,85;C;G3;170;
233;;7,14089;-8,6;1,3;1,95;C;G3;100;
234;;7,16281;-8,6;1,3;1,95;C;G3;160;
