;;;Interaction parameters;;;;;
162;;7,04977;-8,6;1,3;1,75;C;K4;200
163;;7,00422;-8,6;1,3;1,75;CM;J4;280
164;;7,10641;-8,6;1,3;1,75;C;K3;70
165;;7,20959;-8,6;1,3;1,75;C;K3;80
166;;7,04331;-8,6;1,3;1,75;C;J4;140
167;;7,00957;-8,6;1,3;1,75;C;J4;170
168;;6,80462;-8,6;1,3;1,75;C;F3;150
169;;7,16303;-8,6;1,3;1,75;C;J4;100
170;;6,87455;-8,6;1,3;1,75;C;J4;100
171;;6,84169;-8,6;1,3;1,75;C;J4;100
172;;6,94021;-8,6;1,3;1,75;C;I4;225
173;;7,00591;-8,6;1,3;1,75;C;J4;90
174;;7,02416;-8,6;1,3;1,75;C;I4;100
175;;7,07562;-8,6;1,3;1,75;C;I4;105
176;;7,13841;-8,6;1,3;1,75;C;K4;80
177;;7,13883;-8,6;1,3;1,75;C;H4;50
178;;7,09358;-8,6;1,3;1,75;C;H4;150
179;;7,07298;-8,6;1,3;1,75;C;I4;125
180;;7,11719;-8,6;1,3;1,75;C;K3;140
181;;7,13203;-8,6;1,3;1,75;C;I4;80
182;;6,87589;-8,6;1,3;1,75;C;K3;50
183;;7,06953;-8,6;1,3;1,75;C;K3;130
184;;6,80403;-8,6;1,3;1,75;C;H4;155
185;filamented;7,10324;-8,6;1,3;1,75;F;CENTER;50
186;;7,16119;-8,6;1,3;1,75;C;K3;70
187;;7,08761;-8,6;1,3;1,75;C;K3;125
188;no_electrons;7,16998;-8,6;1,3;1,75;N;;50
189;;6,89234;-8,6;1,3;1,75;C;K4;155
190;;6,89628;-8,6;1,3;1,75;C;H4;100
191;;7,04318;-8,6;1,3;1,75;C;K3;110
192;;6,98778;-8,6;1,3;1,75;C;K4;100
193;;7,14656;-8,6;1,3;1,75;C;J4;105
194;;6,81719;-8,6;1,3;1,75;C;K4;145
195;;6,78838;-8,6;1,3;1,75;C;J4;100
196;;7,08845;-8,6;1,3;1,75;C;J4;90
197;;7,05485;-8,6;1,3;1,75;C;J4;80
198;;6,93782;-8,6;1,3;1,75;C;K4;60
199;;6,91164;-8,6;1,3;1,75;C;K4;110
200;;6,9823;-8,6;1,3;1,75;C;H4;80
201;mask_circular;6,8059;-8,6;1,3;1,75;C;H4;110
202;no_electrons;7,03592;-8,6;1,3;1,75;N;;50
203;;7,02756;-8,6;1,3;1,75;CB;I4;50
204;filamented;7,04075;-8,6;1,3;1,75;F;I4;40
205;;6,94822;-8,6;1,3;1,75;C;K4;40
206;;7,08305;-8,6;1,3;1,75;C ;C2;70
207;;6,88336;-8,6;1,3;1,75;C;H4;55
208;filamented;7,01307;-8,6;1,3;1,75;F;;40
209;filamented;6,96297;-8,6;1,3;1,75;F;J4;35
210;filamented;6,88066;-8,6;1,3;1,75;F;P3;50
211;;7,00404;-8,6;1,3;1,65;C;I4;60
212;;6,89196;-8,6;1,3;1,65;CB;N2;70
213;;6,92881;-8,6;1,3;1,55;CB;C1;75
214;;7,01687;-8,6;1,3;1,55;C;H3;50
215;;6,94229;-8,6;1,3;1,45;C;J3;60
216;no_electrons;7,06004;-8,6;1,3;1,45;N;;55
217;;6,61079;-8,6;1,3;1,85;F;C4;60
218;no_electrons;6,98105;-8,6;1,3;1,85;N;;35
219;no_electrons;6,88075;-8,6;1,3;1,95;N;;25
220;filamented;6,85951;-8,6;1,3;1,95;F;H3;50
221;filamented;6,81317;-8,6;1,3;2,05;F;;30
222;no_electrons;6,91573;-8,6;1,3;2,05;N;;10
223;no_electrons;7,05238;-8,6;1,3;1,75;N;;45
224;;6,88945;-8,6;1,3;1,75;CB;;75
225;;6,98979;-8,6;1,3;1,65;C;C1;150
226;;6,95172;-8,6;1,3;1,65;CM;E2;100
227;;6,94688;-8,6;1,3;1,55;CM;N3;155
228;filamented;6,98196;-8,6;1,3;1,55;F;;60
229;;7,04928;-8,6;1,3;1,45;CM;I4;155
230;;6,90629;-8,6;1,3;1,45;CB;;70
231;no_electrons;6,85787;-8,6;1,3;1,85;N;;40
232;;7,02686;-8,6;1,3;1,85;CM;J4;60
233;no_electrons;6,90937;-8,6;1,3;1,95;N;;40
234;filamented;6,83209;-8,6;1,3;1,95;F;;30
235;no_electrons;6,80523;-8,6;1,3;2,05;N;;30
236;no_electrons;7,02372;-8,6;1,3;2,05;N;;55
237;;6,91129;-8,6;1,3;1,75;C;I4;100
238;;7,00313;-8,6;1,3;1,75;C;G3;135
239;;6,92834;-8,6;1,3;1,85;C;I4;100
240;;6,95332;-8,6;1,3;1,85;CM;I4;145
241;;6,93457;-8,6;1,3;1,95;C;C1;100
242;;6,96067;-8,6;1,3;1,95;C;J4;90
243;;6,78737;-8,6;1,3;2,05;C;CENTER;170
244;;7,03768;-8,6;1,3;2,05;C;;30
245;;6,94508;-8,6;1,3;2,15;C;K4;70
246;no_electrons;6,86006;-8,6;1,3;2,15;N;;60
247;;7,00878;-8,6;1,3;1,65;C;E4;140
248;;6,97791;-8,6;1,3;1,65;CB;;130
249;e-;6,98132;-8,6;1,3;1,55;CM;H4;120
250;e-;6,95824;-8,6;1,3;1,55;CM;J4;90
251;;6,94579;-8,6;1,3;1,45;CM;;250
252;;7,01212;-8,6;1,3;1,45;CM;;150
253;;6,96964;-8,6;1,3;1,55;C;C2;160
254;;6,79997;-8,6;1,3;1,55;CM;;130
255;;7,14464;-8,6;1,3;1,85;C;I4;100
256;;6,97599;-8,6;1,3;1,85;C;K4;90
257;;6,96043;-8,6;1,3;1,85;C;K4;100
258;;7,10042;-8,6;1,3;1,85;C;K4;80
259;;6,84291;-8,6;1,3;1,85;CM;;40
260;;7,09431;-8,6;1,3;1,85;C;I4;30
261;no_electrons;6,81422;-8,6;1,3;1,85;N;;90
262;;6,84007;-8,6;1,3;1,85;C;I4;75
263;;6,93853;-8,6;1,3;1,85;C;J4;60
264;no_electrons;6,96696;-8,6;1,3;1,85;N;;50
265;no_electrons;7,02535;-8,6;1,3;1,85;N;;90
266;;6,97987;-8,6;1,3;1,85;C;M4;310
267;;6,76758;-8,6;1,3;1,75;C;C1;160
268;;6,95034;-8,6;1,3;1,75;CM;;170
269;;7,06816;-8,6;1,3;1,65;C;L4;200
270;;6,73918;-8,6;1,3;1,65;C;D1;170
271;;6,90658;-8,6;1,3;1,95;C;M1;100
272;;6,85865;-8,6;1,3;1,95;C;I4;150
273;;6,98434;-8,6;1,3;1,95;CM;;180
274;filamented;6,95875;-8,6;1,3;1,95;F;;30
275;;7,13643;-8,6;1,3;1,95;C;J4;180
276;;6,81602;-8,6;1,3;2,05;C;CENTER;140
277;;6,89489;-8,6;1,3;2,05;D;;30
278;;7,21292;-8,6;1,3;2,05;C;J4;120
279;;6,85833;-8,6;1,3;2,05;D;;120
280;;6,90408;-8,6;1,3;2,05;C;K4;60
281;no_electrons;6,80187;-8,6;1,3;2,15;N;;50
282;;7,06893;-8,6;1,3;2,15;C;I4;50
283;;6,9614;-8,6;1,3;2,15;C;I4;50
284;no_electrons;6,68488;-8,6;1,3;2,25;N;;30
285;no_electrons;6,98703;-8,6;1,3;2,25;N;;45
286;no_electrons;7,05146;-8,6;1,3;2,1;N;;40
287;;6,56574;-8,6;1,3;2,1;C;L4;100
288;;6,90268;-8,6;1,3;2,1;C;I4;100
289;filamented;6,81698;-8,6;1,3;2,1;F;I4;40
290;no_electrons;6,82758;-8,6;1,3;2,1;N;;30
291;mask_square;6,93073;-8,6;1,3;1,75;C;J4;145
292;;6,84312;-8,6;1,3;1,75;C;J4;70
293;;6,86486;-8,6;1,3;1,75;C;I4;90
294;;6,91056;-8,6;1,3;1,75;CM;J4;155
295;no_electrons;6,94124;-8,6;1,3;1,75;N;;20
296;;6,90584;-8,6;1,3;1,75;C;K4;125
297;no_electrons;6,94273;-8,6;1,3;1,75;N;;25
298;;6,88111;-8,6;1,3;1,75;C;J3;50
299;;6,84838;-8,6;1,3;1,75;C;J4;190
300;no_electrons;6,71534;-8,6;1,3;1,75;N;;25
301;;7,01877;-8,6;1,3;1,75;;J4;20
302;filamented;7,00659;-8,6;1,3;1,75;F;CENTER;50
303;no_electrons;7,03732;-8,6;1,3;1,75;N;;40
304;filamented;6,93736;-8,6;1,3;1,75;F;;40
305;;6,93617;-8,6;1,3;1,75;C;J4;55
306;mask_square;7,13218;-8,6;1,3;1,75;C;G3;155
307;;6,94385;-8,6;1,3;1,75;C;J4;70
308;no_electrons;7,01625;-8,6;1,3;1,75;N;;60
309;;7,03453;-8,6;1,3;1,75;C;CENTER;145
310;;7,07139;-8,6;1,3;1,75;CM;I4;130
311;END;;;;;;;
