;;;Interaction parameters;;;;;
Shot;General comments;Laser_Energy;Z - height (mm);X (mm);Y- Focus (mm);Beam_quality;Beam_Pointing;Charge(pC)
0;;0.36;-8,5;1,3;1,85;;;0
1;;0.33;-8,5;1,3;1,85;;;0
2;;7;-8,5;1,3;1,85;;;
3;;6,97652;-8,5;1,3;1,85;;;
4;;6,96144;-8,5;1,3;1,85;;;
5;;6,75041;-8,5;1,3;1,75;C;H3;
6;mask_free, Magnet_IN, Pointing_IN, no_electrons;6,85038;-8,5;1,3;1,75;N;;60
7;;6,74618;-8,5;1,3;1,65;C;C3;200
8;;6,7676;-8,5;1,3;1,65;C;A2;75
9;;6,82561;-8,5;1,3;1,55;CM;H4;115
10;;7,12628;-8,5;1,3;1,55;C;;120
11;;6,9324;-8,5;1,3;1,45;CM;;135
12;no_electrons;6,91964;-8,5;1,3;1,45;N;;50
13;;6,99747;-8,5;1,3;1,95;CM;;75
14;no_electrons;7,08799;-8,5;1,3;1,95;N;;25
15;;6,8901;-8,5;1,3;1,8;CM;;100
16;;6,90817;-8,6;1,3;1,8;CB;P2;50
17;no_electrons;6,83744;-8,6;1,3;1,8;N;;27
18;;6,91865;-8,6;1,3;1,8;C;H3;50
19;;7,00881;-8,6;1,3;1,8;CB;G2;45
20;;7,01421;-8,6;1,3;1,8;C;J4;50
21;;6,93433;-8,6;1,3;1,8;C;I4;55
22;;7,0049;-8,6;1,3;1,8;C;J3;60
23;;7,04271;-8,6;1,3;1,8;C;B3;65
24;;7,17286;-8,6;1,3;1,85;C;H3;95
25;;7,084;-8,6;1,3;1,85;C;G3;90
26;;7,15282;-8,6;1,3;1,85;C;J4;105
27;;6,9741;-8,6;1,3;1,85;C;J4;50
28;;7,10945;-8,6;1,3;1,85;C;J4;75
29;filamented;7,26534;-8,6;1,3;1,85;F;;25
30;;7,16097;-8,6;1,3;1,85;C;I4;125
31;mask_circular;7,19771;-8,6;1,3;1,85;N;;35
32;filamented;7,19771;-8,6;1,3;1,85;F;K4;40
33;no_electrons;7,39244;-8,6;1,3;1,85;N;;40
34;no_electrons;0,0505732;-8,6;1,3;1,85;N;;
35;filamented;7,22764;-8,6;1,3;1,85;F;;40
36;no_electrons;7,22816;-8,6;1,3;1,75;N;;35
37;filamented;7,14448;-8,6;1,3;1,75;F;;25
38;no_electrons;7,19554;-8,6;1,3;1,65;N;;60
39;;7,21358;-8,6;1,3;1,65;C;CENTER;30
40;no_electrons;7,3135;-8,6;1,3;1,55;N;;35
41;filamented;7,1763;-8,6;1,3;1,55;F;CENTER;40
42;no_electrons;7,21621;-8,6;1,3;1,45;N;;25
43;no_electrons;7,27434;-8,6;1,3;1,45;N;;35
44;;7,33367;-8,6;1,3;1,95;D;;50
45;no_electrons;7,21683;-8,6;1,3;1,95;N;;25
46;no_electrons;7,15662;-8,6;1,3;1,65;N;;27
47;filamented;7,16693;-8,6;1,3;1,65;F;;26
48;;7,17503;-8,6;1,3;1,65;C;F4;105
49;no_electrons;7,20851;-8,6;1,3;1,65;N;;60
50;no_electrons;7,17024;-8,6;1,3;1,65;N;;50
51;filamented;7,09638;-8,6;1,3;1,75;F;P2;70
52;;7,14882;-8,6;1,3;1,75;CB;A4;50
53;;7,1667;-8,6;1,3;1,55;C;O3;50
54;;7,10656;-8,6;1,3;1,55;CM;CENTER;75
55;no_electrons;7,14608;-8,6;1,3;1,55;N;;105
56;no_electrons;7,24298;-8,6;1,3;1,55;N;;75
57;no_electrons;7,19568;-8,6;1,3;1,55;N;;30
58;filamented;7,13177;-8,6;1,3;1,65;F;J4;30
59;;7,02141;-8,6;1,3;1,65;D;;49
60;no_electrons;7,13422;-8,6;1,3;1,65;N;;25
61;no_electrons;7,14337;-8,6;1,3;1,65;N;;30
62;;7,34727;-8,6;1,3;1,65;D;;50
63;;7,03947;-8,6;1,3;1,65;C;H4;70
64;;6,92382;-8,6;1,3;1,65;C;CENTER?;80
65;;7,28076;-8,6;1,3;1,65;CM;;85
66;;7,04497;-8,6;1,3;1,75;C;G4;85
67;;7,06705;-8,6;1,3;1,75;C;K4;60
68;;7,24719;-8,6;1,3;1,75;C;J4;90
69;;7,35381;-8,6;1,3;1,75;CM;;65
70;;7,05817;-8,6;1,3;1,85;C;J4;64
71;;7,18365;-8,6;1,3;1,85;C;J4;90
72;;7,34384;-8,6;1,3;1,85;CM;J4;125
73;no_electrons;7,06642;-8,6;1,3;1,85;N;;55
74;;7,25717;-8,6;1,3;1,95;C;J4;65
75;;7,32703;-8,6;1,3;1,95;C;J4;65
76;no_electrons;7,19527;-8,6;1,3;1,95;N;;45
77;;7,4072;-8,6;1,3;1,75;C;G4;80
78;filamented;7,16889;-8,6;1,3;1,75;F;H4;55
79;filamented;7,16443;-8,6;1,3;1,75;F;H4;50
80;;7,13638;-8,6;1,3;1,75;C;H4;80
81;;7,12443;-8,6;1,3;1,75;C;G4;100
82;;7,09341;-8,6;1,3;1,75;C;P4;125
83;;7,20552;-8,6;1,3;1,75;D;;50
84;;7,02259;-8,6;1,3;1,75;C;H4;110
85;;7,26464;-8,6;1,3;1,75;CM;C3;95
86;;7,11424;-8,6;1,3;1,75;C;I4;80
87;mask_square;7,25808;-8,6;1,3;1,75;C;G4;130
88;;7,18728;-8,6;1,3;1,75;C;H4;155
89;;7,26097;-8,6;1,3;1,75;C;G4;125
90;;7,06261;-8,6;1,3;1,75;CM;I4;130
91;;7,15216;-8,6;1,3;1,75;CM;G4;225
92;;7,17648;-8,6;1,3;1,75;C;J4;215
93;;7,10093;-8,6;1,3;1,75;C;G4;175
94;;7,21862;-8,6;1,3;1,75;C;K4;260
95;;7,22432;-8,6;1,3;1,75;C;G4;170
96;;7,10347;-8,6;1,3;1,75;C;G4;125
97;;7,16095;-8,6;1,3;1,95;C;I4;170
98;;7,34919;-8,6;1,3;1,95;C;K4;200
99;;7,16591;-8,6;1,3;1,95;CM;K3;125
100;;7,47523;-8,6;1,3;1,95;CM;I4;200
101;;7,15773;-8,6;1,3;1,95;C;J4;150
102;;7,20896;-8,6;1,3;1,85;C;J4;230
103;;7,26965;-8,6;1,3;1,85;C;J4;145
104;;7,06942;-8,6;1,3;1,85;C;K4;150
105;;7,36608;-8,6;1,3;1,85;C;J4;100
106;;7,2429;-8,6;1,3;1,85;C;CENTER;130
107;;7,21115;-8,6;1,3;1,65;C;G4;130
108;;7,21415;-8,6;1,3;1,65;C;;100
109;;7,26122;-8,6;1,3;1,65;CM;G3;200
110;;6,92746;-8,6;1,3;1,65;CM;G4;190
111;;7,06737;-8,6;1,3;1,65;C;J4;140
112;;7,13818;-8,6;1,3;1,75;C;J4;135
113;no_electrons;7,2559;-8,6;1,3;1,75;N;;10
114;no_electrons;7,04114;-8,6;1,3;1,75;N;;5
115;filamented;7,17748;-8,6;1,3;1,75;F;;25
116;no_electrons;7,01622;-8,6;1,3;1,75;N;;5
117;filamented;7,21622;-8,6;1,3;1,75;F;;25
118;filamented;7,25352;-8,6;1,3;1,75;F;;30
119;no_electrons;7,15404;-8,6;1,3;1,75;N;;105
120;;7,10476;-8,6;1,3;1,75;C;J4;75
121;;7,15881;-8,6;1,3;1,75;C;I4;25
122;;6,94096;-8,6;1,3;1,75;C;H4;50
123;;7,10406;-8,6;1,3;1,75;CM;K4;100
124;;7,0872;-8,6;1,3;1,75;C;I4;50
125;filamented;7,0569;-8,6;1,3;1,75;F;;50
126;;7,10472;-8,6;1,3;1,75;C;J4;60
127;;7,01462;-8,6;1,3;1,75;C;CENTER;65
128;;7,08437;-8,6;1,3;1,75;C;J4;110
129;;7,12319;-8,6;1,3;1,75;C;I4;105
130;;7,18822;-8,6;1,3;1,75;C;E4;70
131;;7,1283;-8,6;1,3;1,75;;;75
132;;7,07104;-8,6;1,3;1,75;;;50
133;;7,06893;-8,6;1,3;1,75;C;K3;55
134;;7,23275;-8,6;1,3;1,75;C;J4;50
135;;7,11205;-8,6;1,3;1,75;C;J4;70
136;;7,09161;-8,6;1,3;1,75;CM;J4;130
137;;7,17802;-8,6;1,3;1,75;C;K4;155
138;;6,91509;-8,6;1,3;1,75;C;K4;150
139;;6,93671;-8,6;1,3;1,75;C;J4;190
140;;7,15573;-8,6;1,3;1,75;C;J4;250
141;;7,04965;-8,6;1,3;1,75;CM;K4;140
142;;7,15673;-8,6;1,3;1,75;C;K4;150
143;;7,17381;-8,6;1,3;1,75;C;J4;100
144;;7,02508;-8,6;1,3;1,75;C;J4;150
145;;7,02952;-8,6;1,3;1,75;C;J4;110
146;;7,057723;-8,6;1,3;1,75;C;K4;250
147;;7,05788;-8,6;1,3;1,75;C;K4;370
148;;7,19134;-8,6;1,3;1,75;C;E2;120
149;;7,05075;-8,6;1,3;1,75;CM;J4;140
150;;7,12664;-8,6;1,3;1,75;C;J4;90
151;;7,20069;-8,6;1,3;1,75;CM;I4;260
152;;6,92559;-8,6;1,3;1,75;CB;J3;100
153;;7,03157;-8,6;1,3;1,75;CM;J3;110
154;;7,02777;-8,6;1,3;1,75;C;L3;280
155;;7,138;-8,6;1,3;1,75;C;CENTER;350
156;;7,18545;-8,6;1,3;1,75;CM;K3;150
157;;7,18745;-8,6;1,3;1,75;C;K3;200
158;;7,08443;-8,6;1,3;1,75;C;K3;130
159;;7,22315;-8,6;1,3;1,75;C;H4;90
160;;7,22443;-8,6;1,3;1,75;C;K4;170
161;;6,99243;-8,6;1,3;1,75;C;;230
